account_number,customer_name,balance,account_type,date_opened,address,phone_number,email,is_active
3484354937,Anitra Haysom,810598.69,credit,1/13/2015,3771 Derek Park,450-338-1333,ahaysom0@amazon.com,false
5640003657,Alwyn Louw,697255.3,checking,7/1/2014,8 Manley Pass,244-629-9254,alouw1@topsy.com,true
7898023773,Noemi Loade,362822.2,savings,5/9/2020,03260 Summit Point,175-975-9726,nloade2@topsy.com,true
1368947005,Ignazio Barras,614803.64,savings,1/4/2011,214 Boyd Lane,801-720-3624,ibarras3@example.com,true
4489059296,Sisely Labbett,302406.92,credit,1/20/2016,4210 Crownhardt Center,570-772-0291,slabbett4@mozilla.com,true
4064348127,Ramsey Mosson,287393.98,credit,4/17/2019,22502 Colorado Junction,192-189-4164,rmosson5@yahoo.co.jp,true
3830945112,Carolin Eckert,653775.71,credit,11/19/2017,1 Luster Point,270-638-1674,ceckert6@devhub.com,true
5671851231,Idaline Giovanetti,878704.25,credit,6/15/2020,3 Continental Center,347-912-3327,igiovanetti7@samsung.com,true
1816374634,Martyn Pietzner,571666.42,checking,4/29/2017,93 Northfield Parkway,247-673-8759,mpietzner8@biglobe.ne.jp,false
5030595661,Ella Easbie,134939.71,checking,12/30/2015,06 2nd Place,405-655-3370,eeasbie9@chron.com,true
4207240883,Parsifal Braybrook,197062.31,savings,4/8/2020,9280 Bowman Plaza,574-890-5904,pbraybrooka@bbb.org,false
5578720732,Nolie Wilmut,839752.79,savings,4/17/2015,104 Anderson Circle,227-967-2975,nwilmutb@macromedia.com,true
1795934455,Glynda Gurery,526647.48,savings,10/7/2000,91709 Steensland Center,324-777-8699,ggureryc@odnoklassniki.ru,true
1230793529,Krisha Yoxen,691855.66,checking,3/6/2017,2 Dexter Center,101-914-3604,kyoxend@icio.us,true
1739738754,Hanson Godsmark,99314.8,checking,6/5/2012,9 Dexter Crossing,384-301-9645,hgodsmarke@comcast.net,true
7505114317,Isa Morrilly,711545.73,savings,2/27/2007,0545 Comanche Crossing,355-452-1932,imorrillyf@mysql.com,false
6924198678,Starr Jancso,369806.21,checking,9/8/2016,684 Vermont Trail,948-298-6608,sjancsog@hugedomains.com,false
4564534598,Greta Heibl,782229.93,savings,9/22/2013,2 Declaration Court,581-802-8860,gheiblh@hexun.com,true
8485724271,Krishna Fahrenbach,621827.46,credit,10/12/2012,2765 Sauthoff Center,882-283-2480,kfahrenbachi@dell.com,false
1851326635,Callie Flux,908381.7,savings,6/24/2006,94473 Killdeer Way,209-839-0210,cfluxj@nature.com,false
7347161047,Rafa Weldrake,794482.37,credit,10/11/2005,64 Fulton Avenue,622-119-7680,rweldrakek@gmpg.org,true
1649913542,Dee Alban,650178.34,savings,10/7/2002,90 Sutherland Trail,657-154-6547,dalbanl@ox.ac.uk,false
2965970782,Tobe Sargeant,585398.9,checking,9/19/2008,22542 Morrow Center,868-948-9656,tsargeantm@is.gd,true
5340592771,Ardelis Dunkerk,199984.75,savings,4/5/2012,372 Raven Center,270-966-4110,adunkerkn@qq.com,false
2873612312,Mallorie Arrighi,249819.9,credit,10/27/2011,272 Mayfield Alley,735-151-6234,marrighio@engadget.com,true
2527798466,Harmonie Custard,448636.87,savings,12/23/2007,24 Schmedeman Hill,867-301-6130,hcustardp@ustream.tv,false
9274697863,Kamillah Surgison,341687.73,savings,12/1/2019,247 Gateway Pass,579-918-5053,ksurgisonq@mysql.com,false
3161827048,Aurthur Blakemore,378999.27,checking,3/15/2021,54 Little Fleur Street,217-987-2040,ablakemorer@ihg.com,true
1288732187,Corabella Merritt,800737.0,savings,3/18/2013,03 Gulseth Park,871-917-0823,cmerritts@barnesandnoble.com,false
3522055797,Siward Stoacley,746948.77,savings,6/14/2002,01406 Chive Place,657-569-0720,sstoacleyt@utexas.edu,false
